"Company Name","CIQ Company ID","Parent Company","Ultimate Corporate Parent","Majority Investor","Minority Investor(s)","Investors (unknown stake)","Relationship Type","Stake Type","% Owned","Currency","LTM Total Revenues (MM)","LTM Net Income (MM)","LFQ Total Debt (MM)","Period End Date","Headquarters","Primary Industry"
"Walmart Inc. (NYSE:WMT)","313055","-","Walmart Inc. (NYSE:WMT)","-","Walton Enterprises, LLC (49.90% Owned), AB Trust & Investment Services Group (- % Owned), Walton Family (0.15% Owned)","UAW Retiree Medical Benefits Trust, Turki Almadhi Ventures Inc.","Parent Company","-","-","USD","523,964.00","14,881.00","72,433.00",1/31/2020,"Bentonville, Arkansas | United States","Hypermarkets and Super Centers"
"Art.com Inc.","889120","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","224.30","-","-","-","Emeryville, California | United States","Internet and Direct Marketing Retail"
"ArtSelect, Inc.","2240977","Art.com Inc.","Walmart Inc. (NYSE:WMT)","Art.com Inc. (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","11.71","-","0.02","-","Fairfield, Iowa | United States","Home Furnishings"
"Asda Living Ltd","214178298","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","7.46","-","-","-","United Kingdom","Hypermarkets and Super Centers"
"Aspectiva Ltd.","409723065","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Jerusalem | Israel","Application Software"
"BareWeb, Inc.","9673909","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","11.27","-","-","-","Edison, New Jersey | United States","Internet and Direct Marketing Retail"
"Bonobos, Inc.","58222435","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","Red Swan Ventures, Pinnacle Ventures, L.L.C, Stage One Capital, Teamworthy Ventures","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","New York, New York | United States","Apparel, Accessories and Luxury Goods"
"Broadstreet Continental Holdings Ltd. Liab. Co.","22399897","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","-","-","-","-","Schaffhausen, Schaffhausen | Switzerland","Research and Consulting Services"
"Claims Management, Inc.","129689636","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (- % Owned)","-","-","Current Subsidiary/Operating Unit","Majority","-","-","5.54","-","-","-","Bentonville, Arkansas | United States","Property and Casualty Insurance"
"ELOQUII Design, Inc.","274108750","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT)","Walmart Inc. (NYSE:WMT) (100.00% Owned)","-","-","Current Subsidiary/Operating Unit","Majority","100.00","-","-","-","-","-","Columbus, Ohio | United States","Apparel, Accessories and Luxury Goods"
